sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.29978;-4.2174799999999997e-07;-2.5002999999999997e-07;1.71717e-07
-0.300854;-4.2131e-07;-2.49592e-07;1.71717e-07
-0.301929;-4.2131e-07;-2.49592e-07;1.71717e-07
-0.30300299999999997;-4.2131e-07;-2.49373e-07;1.7193599999999999e-07
-0.30407799999999996;-4.21091e-07;-2.49155e-07;1.7193599999999999e-07
-0.305152;-4.2131e-07;-2.49373e-07;1.7193599999999999e-07
-0.30622699999999997;-4.20435e-07;-2.49155e-07;1.7128e-07
-0.307301;-4.20873e-07;-2.49373e-07;1.71499e-07
-0.308376;-4.20873e-07;-2.49592e-07;1.7128e-07
-0.30945;-4.20216e-07;-2.49373e-07;1.70842e-07
-0.310525;-4.20216e-07;-2.49811e-07;1.70405e-07
-0.31159899999999996;-4.19998e-07;-2.49592e-07;1.70405e-07
-0.312673;-4.1956e-07;-2.49811e-07;1.69749e-07
-0.31374799999999997;-4.1934099999999997e-07;-2.5002999999999997e-07;1.69311e-07
-0.314822;-4.19123e-07;-2.49811e-07;1.69311e-07
-0.315897;-4.18029e-07;-2.49811e-07;1.68218e-07
-0.316971;-4.17591e-07;-2.49373e-07;1.68218e-07
-0.318046;-4.17154e-07;-2.49592e-07;1.67561e-07
-0.31911999999999996;-4.17154e-07;-2.49373e-07;1.6777999999999998e-07
-0.320195;-4.16498e-07;-2.49155e-07;1.67343e-07
-0.32126899999999997;-4.1584099999999997e-07;-2.48717e-07;1.67124e-07
-0.32234399999999996;-4.15404e-07;-2.4828e-07;1.67124e-07
-0.323418;-4.14966e-07;-2.47842e-07;1.67124e-07
-0.324493;-4.1518499999999997e-07;-2.48061e-07;1.67124e-07
-0.325567;-4.1431e-07;-2.48061e-07;1.66249e-07
-0.326642;-4.1431e-07;-2.48061e-07;1.66249e-07
-0.327716;-4.14091e-07;-2.48061e-07;1.6602999999999999e-07
-0.328791;-4.13654e-07;-2.47623e-07;1.6602999999999999e-07
-0.32986499999999996;-4.13654e-07;-2.47623e-07;1.6602999999999999e-07
-0.33094;-4.13654e-07;-2.47623e-07;1.6602999999999999e-07
-0.332014;-4.13654e-07;-2.47623e-07;1.6602999999999999e-07
-0.33308899999999997;-4.13435e-07;-2.47405e-07;1.6602999999999999e-07
-0.334163;-4.13435e-07;-2.47405e-07;1.6602999999999999e-07
-0.335238;-4.13873e-07;-2.47842e-07;1.6602999999999999e-07
-0.336312;-4.13435e-07;-2.47405e-07;1.6602999999999999e-07
-0.337387;-4.12998e-07;-2.47405e-07;1.65593e-07
-0.338461;-4.13435e-07;-2.48061e-07;1.65374e-07
-0.339536;-4.13216e-07;-2.48061e-07;1.65155e-07
-0.34060999999999997;-4.13435e-07;-2.4828e-07;1.65155e-07
-0.341684;-4.12998e-07;-2.48498e-07;1.64499e-07
-0.342759;-4.13216e-07;-2.48717e-07;1.64499e-07
-0.343833;-4.12779e-07;-2.48498e-07;1.6427999999999999e-07
-0.344908;-4.12123e-07;-2.4828e-07;1.63843e-07
-0.345982;-4.12123e-07;-2.48498e-07;1.63624e-07
-0.347057;-4.1168499999999997e-07;-2.48498e-07;1.63186e-07
-0.34813099999999997;-4.11466e-07;-2.4828e-07;1.63186e-07
-0.34920599999999996;-4.11248e-07;-2.48061e-07;1.63186e-07
-0.35028;-4.1081e-07;-2.47842e-07;1.62968e-07
-0.351355;-4.10373e-07;-2.47623e-07;1.62749e-07
-0.352429;-4.09935e-07;-2.47405e-07;1.6253e-07
-0.353504;-4.09716e-07;-2.47186e-07;1.6253e-07
-0.354578;-4.0906e-07;-2.46311e-07;1.62749e-07
-0.355653;-4.08623e-07;-2.46092e-07;1.6253e-07
-0.35672699999999996;-4.07748e-07;-2.45217e-07;1.6253e-07
-0.357802;-4.07748e-07;-2.44998e-07;1.62749e-07
-0.358876;-4.0731e-07;-2.4478e-07;1.6253e-07
-0.35995099999999997;-4.07966e-07;-2.45436e-07;1.6253e-07
-0.361025;-4.0731e-07;-2.45217e-07;1.62093e-07
-0.3621;-4.0731e-07;-2.45217e-07;1.62093e-07
-0.363174;-4.0687299999999997e-07;-2.45436e-07;1.61436e-07
-0.364249;-4.06435e-07;-2.45436e-07;1.60999e-07
-0.365323;-4.0687299999999997e-07;-2.45655e-07;1.61218e-07
-0.366398;-4.07091e-07;-2.45873e-07;1.61218e-07
-0.36747199999999997;-4.06654e-07;-2.45873e-07;1.6078e-07
-0.368546;-4.07091e-07;-2.4652999999999997e-07;1.60561e-07
-0.369621;-4.0731e-07;-2.46967e-07;1.60343e-07
-0.370695;-4.0687299999999997e-07;-2.4652999999999997e-07;1.60343e-07
-0.37177;-4.07091e-07;-2.47186e-07;1.59905e-07
-0.372844;-4.06435e-07;-2.46967e-07;1.59468e-07
-0.373919;-4.06216e-07;-2.46967e-07;1.59249e-07
-0.37499299999999997;-4.06654e-07;-2.47405e-07;1.59249e-07
-0.37606799999999996;-4.06216e-07;-2.47186e-07;1.5903e-07
-0.377142;-4.06654e-07;-2.47623e-07;1.5903e-07
-0.37821699999999997;-4.05998e-07;-2.47405e-07;1.58593e-07
-0.379291;-4.05123e-07;-2.4652999999999997e-07;1.58593e-07
-0.380366;-4.0556e-07;-2.46748e-07;1.58811e-07
-0.38144;-4.04685e-07;-2.4652999999999997e-07;1.58155e-07
-0.382515;-4.04685e-07;-2.45873e-07;1.58811e-07
-0.38358899999999996;-4.04248e-07;-2.45873e-07;1.5837399999999999e-07
-0.384664;-4.0402899999999997e-07;-2.45436e-07;1.58593e-07
-0.38573799999999997;-4.03154e-07;-2.4478e-07;1.5837399999999999e-07
-0.38681299999999996;-4.0337299999999997e-07;-2.44561e-07;1.58811e-07
-0.387887;-4.02935e-07;-2.44123e-07;1.58811e-07
-0.388962;-4.02498e-07;-2.43686e-07;1.58811e-07
-0.390036;-4.01623e-07;-2.43248e-07;1.5837399999999999e-07
-0.391111;-4.01185e-07;-2.42811e-07;1.5837399999999999e-07
-0.392185;-4.0052899999999997e-07;-2.42373e-07;1.58155e-07
-0.39326;-4.0031e-07;-2.42811e-07;1.57499e-07
-0.39433399999999996;-4.00748e-07;-2.43248e-07;1.57499e-07
-0.39540899999999995;-4.0031e-07;-2.43248e-07;1.57061e-07
-0.396483;-3.99654e-07;-2.43686e-07;1.5596799999999998e-07
-0.397557;-3.99435e-07;-2.44123e-07;1.55311e-07
-0.398632;-3.99216e-07;-2.44123e-07;1.55093e-07
-0.399706;-3.99654e-07;-2.44561e-07;1.55093e-07
-0.400781;-3.99435e-07;-2.4478e-07;1.54655e-07
-0.40185499999999996;-3.99654e-07;-2.45217e-07;1.54436e-07
-0.40292999999999995;-3.99435e-07;-2.45436e-07;1.53999e-07
-0.404004;-3.99435e-07;-2.45217e-07;1.5421799999999999e-07
-0.40507899999999997;-3.9987299999999997e-07;-2.45873e-07;1.53999e-07
-0.406153;-3.99216e-07;-2.45655e-07;1.53561e-07
-0.407228;-3.9987299999999997e-07;-2.45873e-07;1.53999e-07
-0.408302;-3.98998e-07;-2.45655e-07;1.53343e-07
-0.409377;-3.99216e-07;-2.45436e-07;1.5378e-07
-0.41045099999999995;-3.98998e-07;-2.45436e-07;1.53561e-07
-0.411526;-3.98998e-07;-2.45217e-07;1.5378e-07
-0.41259999999999997;-3.98998e-07;-2.4478e-07;1.5421799999999999e-07
-0.41367499999999996;-3.98998e-07;-2.44998e-07;1.53999e-07
-0.414749;-3.98998e-07;-2.44998e-07;1.53999e-07
-0.41582399999999997;-3.98341e-07;-2.43905e-07;1.54436e-07
-0.416898;-3.98123e-07;-2.43686e-07;1.54436e-07
-0.417973;-3.98123e-07;-2.43467e-07;1.54655e-07
-0.419047;-3.97685e-07;-2.43248e-07;1.54436e-07
-0.420122;-3.97248e-07;-2.4302999999999997e-07;1.5421799999999999e-07
-0.42119599999999996;-3.9681e-07;-2.42155e-07;1.54655e-07
-0.422271;-3.9681e-07;-2.42155e-07;1.54655e-07
-0.42334499999999997;-3.9637299999999997e-07;-2.42373e-07;1.53999e-07
-0.42441999999999996;-3.96154e-07;-2.42155e-07;1.53999e-07
-0.425494;-3.95716e-07;-2.42373e-07;1.53343e-07
-0.426568;-3.94841e-07;-2.41936e-07;1.52905e-07
-0.427643;-3.9506e-07;-2.42592e-07;1.5246799999999999e-07
-0.42871699999999996;-3.9506e-07;-2.43248e-07;1.51811e-07
-0.429792;-3.95279e-07;-2.43467e-07;1.51811e-07
-0.43086599999999997;-3.94841e-07;-2.44123e-07;1.50718e-07
-0.43194099999999996;-3.9506e-07;-2.44561e-07;1.50499e-07
-0.433015;-3.94841e-07;-2.4478e-07;1.50061e-07
-0.43409;-3.95279e-07;-2.45217e-07;1.50061e-07
-0.435164;-3.9506e-07;-2.44998e-07;1.50061e-07
